1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
2	500	500	1	0	418	0
3	500	500	1	0	420	0
4	500	500	1	0	421	0
1	474	263	0.554852	0	410	0
