1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
2	500	500	1	0	518	0
3	500	500	1	0	520	0
4	500	500	1	0	521	0
1	499	237	0.47495	0	506	0
